Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
"N53,N,36,F_1_0.jpg",NormalFinal,11.20332212885154,22.364576846475362,13.164073676680973,22.13842744537014,0.597403517725264,0.48076667713149623,0.5866214555993866,0.47851266983295093,1.7545714285714284,2.66528654380207,1.8978451359084407,2.6682599792420545,6.531975591021426,6.899170335377824,6.591999796658257,6.897795286434382,0.002747507567732976,0.0019262403167843408,0.0026508009251907405,0.0019424671417531281,0.05241667261218491,0.04388895438244503,0.051485929390375586,0.044073428976574174,0.9989697757973155,0.9979414829860465,0.9987888781365121,0.9979623093172096
"N54,N,35,F_1_0.jpg",NormalFinal,32.496515406162466,108.79718365171533,82.8757879560086,103.3945356110971,0.5257026167073608,0.3831792844151598,0.4952797869302481,0.3812580831236364,2.8514061624649862,5.4138853824791715,4.2816020654506435,5.251474094645013,6.68299415017932,7.255366995247613,6.975220740456706,7.244262949565918,0.0022643453302889785,0.0013274486097763069,0.0020097227808064345,0.00133615556145664,0.047585137703793384,0.036434168163638744,0.044829931751079376,0.036553461689101896,0.9970075584541411,0.9899673653978978,0.9923661041810613,0.9904655753129882
"N55,N,33,F_1_0.jpg",NormalFinal,24.943899159663864,69.3386013632921,51.50865633941345,72.39162949872366,0.5631886525241228,0.41732943873805356,0.5172302305926534,0.41689885040225205,2.523103641456583,4.4462004544307,3.5300708601573674,4.531010687536817,6.424895763557058,6.935051165101749,6.689835693460816,6.949548117858664,0.002926219130789571,0.0017675060292129353,0.0024799831598627305,0.0017721206685943087,0.05409453882592559,0.04204171772433823,0.04979942931262095,0.042096563619781466,0.9977035177795138,0.9936079278373947,0.9952587373266444,0.9933265335686592
"N56,N,22,F_1_0.jpg",NormalFinal,30.242717086834734,72.6149232797554,48.77209070994278,74.87336531178995,0.49270313482215256,0.3754320067462532,0.49122450383862265,0.3662107661360561,2.9256302521008397,4.741591629498724,3.6074358458512163,4.900676035793431,7.172742636897379,7.632223565454507,7.314714531391436,7.667201122177831,0.0015264374298739102,0.001028614647388605,0.001532397902923067,0.0009980471191292524,0.03906964844830204,0.03207202281410708,0.03914585422395413,0.031591883754047534,0.9972145877333671,0.9933048663942297,0.9955053889766062,0.9930966183358941
"N57,N,22,F_1_2.jpg",NormalFinal,75.83299159663865,119.93490981514208,54.403847013590855,112.78632219697607,0.5022767673322475,0.4004790159757051,0.5490659753380527,0.4169161903647759,4.017417366946779,5.466408594911498,3.2537553648068673,5.106948301495133,7.08520095499556,7.411430075017356,6.889901255761909,7.340378385428961,0.0025802645450336997,0.002000204223751605,0.002923663304307502,0.0021343216875946438,0.050796304442682634,0.044723642782667036,0.05407090996374577,0.04619871954496838,0.992925695787514,0.9887991072702189,0.9949266085934269,0.989466699735369
"N58,N,43,M_1_0.jpg",NormalFinal,37.83883473389356,72.75773233470785,41.81484151466381,72.93300232825607,0.49735195853878106,0.38239349316112264,0.5083151783537685,0.37112973363652424,3.157501400560224,4.665937333445538,3.22265625,4.724110073213835,7.133292330157495,7.535105495666492,7.154758518556712,7.554975201206776,0.0018891837048544908,0.0013115435848732378,0.00198733976640365,0.0012906213242820075,0.0434647409385411,0.03621523967714749,0.04457958912331573,0.035925218500128954,0.9965166026921003,0.9932961434855135,0.99614877949206,0.9932799420922119
"N59,N,34M,F_1_0.jpg",NormalFinal,31.400380952380953,113.1891834273051,88.42704980329042,111.6770961317288,0.49743972093773703,0.33535862026238517,0.4442979433800225,0.33272696665181545,2.869411764705882,5.7596566523605155,4.737415057224606,5.79490027770765,7.012302688626298,7.66337878675519,7.40967290277031,7.677459119901894,0.0016209985484389837,0.0008487556994487193,0.0013272170620613434,0.0008425569879128595,0.040261626251791964,0.02913341208043986,0.036430990407362564,0.029026832205958326,0.9971062957811846,0.9895546076164569,0.9918439793539983,0.9896941004335669
"N6,N,17,M_1_0.jpg",NormalFinal,42.776918767507,98.60907178321973,64.98794036123033,99.18952004263794,0.4863465826154172,0.3687877911641489,0.4974663287611991,0.3747432616343117,3.4079775910364147,5.425498611461752,3.994769313304721,5.39031108867009,7.012671315509731,7.463850287932238,7.103576383229897,7.4390134951589975,0.0024948376213230388,0.0019047509087572558,0.0025911106226409845,0.0019509815453209775,0.049948349535525585,0.04364345207195755,0.05090295298547015,0.04416991674568764,0.9960568743753826,0.9909001541752177,0.9940057070253704,0.990846545062681
"N6,N,F,15_1_0.jpg",NormalFinal,11.053719887955182,39.24921316165952,31.06545623211731,40.0804174030127,0.567103860035761,0.40442046879580174,0.515431746142063,0.40957932290067894,1.8208123249299721,3.7006479845156948,2.9984184996423466,3.6848270638727594,6.833806450019964,7.483052101350994,7.222920206989169,7.473193700406109,0.0018123280527897435,0.0010103491258375888,0.0015267528183454122,0.0010328948022924362,0.04257144644934846,0.031785989458212385,0.03907368447363791,0.03213868078021306,0.998979250430556,0.9963714023910237,0.9971314606954358,0.9962945769391687
"n61,N,33,F_1_0.jpg",NormalFinal,35.35574789915966,92.12699374456506,65.6611453862661,93.79856938483547,0.5292464803711323,0.40803667841642544,0.5287076873986882,0.4037182788481509,3.0095630252100842,5.025958652416617,3.7968749999999996,5.12392493478078,6.980808375974287,7.452151408980621,7.10546915154552,7.467285211027404,0.00345630330563598,0.002822479199120653,0.0035006934216642105,0.002792696263108777,0.0587903334370199,0.05312701007134368,0.05916665802345279,0.052845967330618304,0.9967008316918505,0.9913858480065576,0.9938640183414775,0.9912295166624838
